zipcode,homeowner dummy,NUMCHLD,gender dummy,WEALTH,HV,Icmed,Icavg,NUMPROM,MAXRAMNT,totalmonths,Donor
4,1,1,1,8,2431,646,725,24,12,30,1
2,0,1,1,8,1159,494,542,24,7,29,0
5,1,1,1,3,1538,441,485,48,10,31,1
3,1,1,1,6,678,366,451,70,10,37,0
4,0,1,1,2,247,241,251,67,5,30,1
2,1,1,1,8,833,406,444,21,10,30,1
3,1,1,1,8,1113,590,643,23,16,37,0
3,1,1,1,1,427,244,276,74,10,29,1
3,0,1,0,9,740,349,397,119,20,19,0
5,1,1,0,8,1165,475,515,36,10,35,0
5,1,1,1,2,875,224,271,78,15,17,1
4,1,1,1,8,845,488,530,22,10,30,1
2,1,3,0,2,556,269,290,44,25,31,0
4,0,1,1,8,454,195,251,53,20,26,0
5,1,1,0,8,902,426,463,28,15,37,0
3,1,1,0,5,380,206,235,36,20,29,0
5,1,1,1,8,2454,605,625,22,7,29,0
4,1,1,1,8,1197,212,270,22,11,31,1
2,1,1,1,8,409,273,298,39,10,30,0
5,1,1,0,1,2038,254,293,53,18,36,0
3,1,1,1,8,326,221,257,23,20,32,0
5,1,1,0,8,5945,1500,1228,23,25,33,0
5,1,1,0,0,717,250,327,66,10,29,0
3,1,1,0,8,1012,423,436,50,6,29,0
2,0,2,0,8,1405,288,296,31,20,29,0
3,0,1,0,8,212,207,237,24,10,33,0
3,0,1,0,5,721,388,440,45,15,33,0
3,1,1,1,7,838,402,472,57,16,37,0
4,1,1,0,8,382,246,300,41,10,32,0
2,0,1,0,8,1452,315,387,21,50,37,0
5,1,1,1,9,1397,526,538,81,10,17,1
4,1,1,1,8,614,308,340,50,7,29,1
4,1,1,0,4,660,411,438,43,25,37,0
5,1,3,0,9,3423,689,722,47,25,31,0
5,1,1,1,8,1912,515,497,46,5,31,1
5,0,1,0,8,514,335,326,29,20,35,0
2,1,1,1,7,616,338,363,48,25,37,0
3,0,1,1,2,426,220,260,60,12,30,1
5,0,1,1,8,2790,699,708,17,25,37,0
5,1,1,1,8,2044,585,635,59,7,31,1
5,1,1,0,8,934,406,390,27,10,30,0
3,1,1,0,8,991,605,507,32,19,31,0
3,0,1,1,8,526,342,353,41,7,31,0
3,1,2,1,8,671,413,465,71,15,37,1
5,1,1,1,8,1079,474,511,26,15,33,0
5,1,1,1,8,2014,526,566,20,15,31,0
5,1,1,0,7,1388,438,444,98,25,19,0
5,1,1,0,1,1100,357,382,55,12,32,0
3,1,1,1,8,562,348,393,34,25,31,0
3,0,1,0,5,483,289,326,34,15,37,0
5,1,1,1,0,902,431,444,59,12,28,0
2,1,1,0,5,490,288,307,46,10,29,0
2,1,1,0,8,707,235,292,21,15,33,0
3,1,1,1,4,377,351,359,62,16,28,0
5,1,1,1,8,2203,561,569,73,10,32,1
5,1,1,1,8,2675,270,391,36,5,29,0
2,1,1,1,8,980,389,443,37,38,36,0
2,0,1,1,8,1700,524,616,40,10,30,1
2,0,1,1,8,669,350,364,49,10,34,0
2,1,1,0,5,590,292,318,71,20,31,0
5,1,1,1,8,2361,522,549,16,20,29,0
5,1,1,0,3,771,295,377,79,15,28,0
2,1,1,0,3,986,280,345,52,50,31,0
3,1,1,0,9,834,367,405,67,20,31,0
3,1,1,1,5,527,307,340,52,15,28,0
2,0,1,0,8,1579,476,610,20,50,37,0
2,1,1,1,2,467,225,287,45,10,30,1
2,0,1,0,3,626,299,314,86,15,20,0
5,1,1,1,8,2090,398,426,33,10,30,1
5,1,1,0,8,1835,465,493,27,7,31,0
5,1,1,0,8,4142,731,774,54,23,34,0
3,1,1,0,5,1167,685,770,52,6,28,0
2,1,1,1,8,1658,463,597,30,13,35,1
5,1,1,0,8,2855,447,566,19,15,29,0
2,1,1,1,8,569,332,386,74,10,31,0
5,1,1,1,8,2564,516,640,24,11,28,1
2,1,1,0,1,476,227,272,54,15,35,0
2,0,1,0,8,1016,415,448,27,20,30,0
4,0,1,0,8,626,281,301,15,15,37,0
5,0,1,1,8,1507,341,519,82,20,36,1
5,1,1,0,9,1654,517,601,55,10,32,0
5,1,1,0,9,2489,875,954,33,25,28,0
5,1,1,1,8,1091,164,244,23,20,31,1
3,0,1,0,5,419,351,363,86,12,28,0
3,1,1,0,8,762,381,421,21,16,32,0
3,0,1,0,8,594,322,378,38,10,33,0
5,1,1,1,7,2615,502,551,54,6,31,1
2,1,1,0,8,782,385,376,68,10,31,0
2,1,1,1,7,502,334,346,53,20,33,0
5,1,1,1,1,522,220,285,57,36,37,0
5,1,1,1,8,1535,346,414,37,15,29,1
5,1,1,1,4,1953,425,460,76,25,37,0
5,1,1,1,8,2523,471,571,16,20,37,1
4,0,1,1,2,461,222,258,48,15,34,0
5,1,1,1,8,1321,559,571,44,10,29,1
2,1,1,1,8,572,236,265,35,5,31,1
4,1,1,1,9,1074,600,640,62,20,31,0
4,1,1,1,8,834,393,441,42,10,30,1
5,1,1,0,9,1425,545,628,80,30,31,0
4,1,1,0,7,1049,496,540,64,20,31,0
5,1,1,1,8,1758,459,521,27,25,29,0
3,1,1,1,8,1551,357,404,28,6,28,1
5,1,1,1,8,1411,296,372,51,10,29,0
2,1,1,1,2,433,262,307,56,11,37,0
5,1,1,1,6,1528,485,537,49,5,28,1
5,1,1,1,2,1224,299,324,39,13,30,1
4,0,1,1,5,260,264,325,71,5,28,0
5,1,1,0,8,1450,581,618,15,15,37,0
2,1,1,1,7,477,319,364,69,10,35,1
5,0,1,1,8,692,197,243,33,20,28,1
5,1,1,1,5,598,146,187,76,10,31,1
2,1,1,0,4,0,0,0,52,11,29,0
5,1,1,1,8,5588,812,903,33,10,28,1
4,1,1,1,8,541,273,326,22,10,29,1
2,1,1,1,2,528,263,279,71,10,36,1
3,1,1,1,0,584,143,207,53,10,29,0
4,0,1,1,8,2471,771,897,22,15,36,0
2,0,1,1,8,417,358,324,23,15,32,0
3,1,1,1,9,1049,823,793,32,12,31,1
2,1,1,1,7,728,300,340,55,15,36,1
5,1,1,0,8,3679,403,448,55,5,29,0
5,1,1,1,7,894,381,419,69,16,23,1
4,1,1,0,7,1172,467,522,33,20,34,0
5,1,1,0,8,1565,508,534,61,7,30,0
5,1,1,0,7,676,363,431,94,11,34,0
5,1,1,0,8,1939,511,523,14,25,35,0
4,0,1,0,4,562,311,375,62,19,34,0
2,1,1,1,8,509,299,323,58,10,30,1
2,1,1,1,2,601,323,329,38,20,31,0
5,1,1,1,2,1436,292,359,74,20,33,1
3,1,1,1,8,534,314,379,53,9,30,0
2,1,1,0,8,483,308,314,37,10,28,0
5,1,1,1,8,1663,347,399,41,10,32,1
5,1,1,1,0,531,141,159,34,16,37,0
3,1,1,0,3,559,316,371,69,21,19,0
2,1,1,1,6,694,358,386,72,7,28,1
5,1,1,1,8,5212,931,931,19,25,37,1
2,0,1,1,8,905,386,454,67,21,37,0
5,1,1,0,8,457,307,338,24,7,29,0
4,0,1,1,8,2109,540,896,34,13,29,1
3,0,1,1,8,897,533,605,21,10,29,1
4,1,3,1,5,595,288,332,57,15,30,0
4,1,1,0,4,1039,604,684,74,5,28,0
2,1,1,0,8,1255,610,603,23,10,28,0
2,1,1,0,8,977,464,486,64,7,31,0
4,1,3,0,2,716,477,487,40,11,34,0
4,1,1,0,7,995,494,464,59,14,28,0
4,1,1,1,8,760,470,481,25,13,28,1
2,1,1,1,7,1028,418,494,60,11,36,1
4,1,1,0,4,709,512,526,57,15,32,0
5,0,1,0,8,1019,539,575,16,20,37,0
2,1,1,0,4,495,272,298,47,15,28,0
2,0,1,1,8,795,376,421,26,10,32,0
4,1,1,1,9,870,538,567,35,20,32,0
2,1,1,0,8,580,264,319,39,11,30,0
2,0,1,1,8,552,198,247,54,12,29,0
4,0,1,0,8,643,256,279,30,16,29,0
5,1,1,0,9,3750,777,818,54,5,31,0
5,1,1,1,5,2229,473,483,74,14,30,1
4,1,1,1,7,1148,496,547,49,6,32,0
4,1,1,1,1,307,163,185,73,7,29,1
4,1,1,0,5,519,292,320,44,15,30,0
5,1,1,1,3,394,230,274,70,14,34,0
2,1,1,1,8,625,303,348,36,15,31,0
3,1,1,0,8,588,236,306,22,20,36,0
2,1,1,1,8,494,256,309,24,25,33,0
5,0,1,1,8,1326,550,603,28,7,32,1
2,1,1,0,8,663,294,338,25,10,30,0
3,1,1,1,2,621,501,565,85,10,36,0
3,0,1,1,0,351,257,285,73,10,31,1
5,1,1,0,9,1879,576,633,92,50,19,0
5,1,1,1,8,942,426,475,42,17,36,1
5,1,1,1,4,610,334,357,53,14,33,0
2,1,1,0,8,467,292,325,27,6,30,0
4,1,1,1,8,453,169,236,38,10,32,0
4,1,1,1,9,1451,575,662,67,10,30,1
3,1,1,0,3,502,324,376,83,13,31,0
5,1,1,1,8,881,421,471,35,10,34,0
4,1,1,1,1,370,193,246,66,11,31,0
4,1,1,1,8,542,303,384,31,10,30,1
5,1,1,0,6,2236,448,499,58,15,28,0
3,1,1,1,3,422,298,324,35,10,30,0
5,1,1,0,5,1231,387,435,79,16,29,0
4,1,1,1,0,298,72,94,72,21,31,1
5,1,1,1,8,2733,438,616,51,20,30,0
4,1,1,1,8,461,249,287,23,20,28,1
5,1,1,0,6,2291,480,539,122,50,21,0
2,1,1,1,3,381,157,192,55,5,28,1
2,1,1,1,7,1218,613,689,69,10,30,1
2,1,1,1,8,870,524,551,25,20,28,0
4,1,1,1,8,719,442,446,56,12,32,0
5,1,1,1,9,1122,584,633,79,75,32,1
3,1,1,1,7,724,399,443,59,19,28,1
5,0,1,1,8,2966,503,511,19,20,32,0
3,1,2,0,1,339,221,275,42,6,29,0
3,0,1,1,4,444,196,263,36,20,37,0
5,1,1,1,8,2523,570,669,26,10,30,1
5,1,1,0,8,727,364,406,23,20,28,0
5,1,1,1,8,1002,248,335,68,5,31,0
4,0,1,0,8,732,257,325,58,7,29,0
4,1,1,1,8,572,189,243,22,20,28,0
3,1,1,1,8,1246,354,425,60,6,30,1
5,0,1,1,8,1219,549,612,26,20,36,1
3,0,1,0,8,774,441,478,37,8,22,0
5,1,1,1,8,2527,578,630,56,50,29,0
3,1,1,1,8,456,290,295,34,10,32,0
3,0,1,0,4,442,315,343,52,20,30,0
2,0,1,0,9,812,445,467,66,10,35,0
5,0,1,1,8,506,319,355,24,20,35,0
4,1,1,1,5,1408,552,655,52,7,28,0
5,1,1,0,1,569,227,285,63,5,30,0
4,1,1,1,8,293,212,265,40,15,37,1
3,0,1,1,2,338,145,218,79,15,17,1
5,1,1,1,8,1915,408,468,25,11,31,0
4,0,1,1,2,435,353,360,65,10,32,0
4,1,1,0,3,468,313,337,66,5,30,0
4,0,1,1,8,1015,443,495,103,35,22,0
5,1,1,1,8,1136,246,344,24,10,33,1
5,1,1,1,8,1772,418,492,30,15,36,1
3,1,1,1,8,942,453,472,52,20,33,1
2,1,1,1,8,917,295,378,27,5,29,1
5,0,1,0,7,2387,516,514,55,25,37,0
3,1,1,1,5,680,306,341,51,9,31,1
3,1,2,1,8,1269,592,646,21,10,28,0
2,1,1,1,4,632,346,381,49,10,37,1
3,1,1,0,8,343,302,308,16,20,37,0
5,0,1,0,0,931,199,263,74,100,33,1
5,1,1,1,4,2078,388,483,46,25,31,0
5,1,1,1,6,0,0,0,47,6,29,0
3,0,1,1,8,450,301,329,21,20,32,0
4,0,1,0,0,427,132,208,76,12,30,0
4,0,1,1,1,504,208,253,63,20,37,1
5,0,1,0,0,722,163,221,63,20,36,0
3,0,1,1,0,1625,161,366,33,15,31,0
5,1,1,1,8,5908,1500,1152,23,100,28,1
4,1,1,0,8,1038,500,589,54,20,30,0
2,1,1,1,8,758,264,312,51,13,31,0
5,1,1,1,2,1303,314,373,50,12,31,1
5,1,1,1,8,1324,568,599,28,7,31,1
5,0,1,1,9,1025,458,512,44,20,32,0
4,1,1,1,8,829,387,429,25,11,30,1
2,1,1,1,7,1739,391,409,51,9,32,0
4,1,1,0,8,530,297,317,15,15,37,0
4,1,1,1,8,1325,727,743,25,7,29,1
5,1,1,0,5,1167,412,483,47,5,29,0
3,0,1,0,8,609,344,382,22,10,30,0
2,1,1,1,0,470,212,264,58,15,28,1
5,1,1,1,8,639,195,231,33,15,37,0
3,1,1,1,0,546,238,273,63,10,30,1
3,1,1,0,4,591,334,382,53,25,29,0
5,1,1,1,8,935,301,316,16,20,36,0
4,1,1,0,8,343,240,299,36,8,32,0
3,1,1,0,8,503,399,403,59,15,30,0
3,1,1,1,8,802,457,492,48,12,19,1
5,0,1,0,1,734,234,273,53,25,32,0
3,1,1,0,2,525,317,372,33,11,29,0
5,1,1,1,6,580,233,281,62,22,36,0
4,1,1,1,8,1508,617,680,43,12,36,0
2,1,1,1,9,1150,573,653,48,25,29,1
5,1,1,1,9,2484,662,675,48,20,36,0
5,1,1,0,1,2154,252,329,38,11,32,0
5,1,1,0,9,5932,1434,1142,59,15,34,0
5,1,1,1,8,1273,457,490,54,25,32,1
5,1,1,1,8,973,366,381,18,15,37,0
2,1,2,0,1,672,192,221,72,25,33,0
2,1,1,0,8,1669,435,525,54,10,28,0
5,1,1,1,2,1014,293,331,45,30,28,1
4,0,1,1,8,650,277,327,42,12,32,0
2,1,1,0,8,1166,459,488,71,25,37,0
3,1,1,0,7,409,334,318,52,13,34,0
5,1,1,1,8,423,271,313,51,7,32,1
3,0,1,1,1,351,192,239,54,15,36,0
4,1,1,0,2,225,199,198,47,20,36,0
5,1,1,1,8,1342,566,606,57,15,37,0
4,0,1,1,8,598,267,325,24,10,31,0
2,1,1,1,8,442,281,313,30,8,31,0
3,0,1,1,1,396,247,275,54,9,37,0
3,1,1,0,6,713,362,411,71,12,31,0
4,1,1,1,8,760,390,386,80,5,32,0
5,1,1,1,3,895,493,465,99,20,26,1
5,1,1,0,8,2284,462,537,23,16,37,0
3,1,1,1,8,1082,587,631,20,11,31,0
5,1,1,0,3,1124,419,452,41,20,31,0
4,1,1,1,7,568,416,470,48,15,34,0
4,1,1,0,9,2709,787,873,33,25,31,0
3,1,1,1,4,633,317,406,40,12,29,1
5,1,1,1,4,554,292,306,71,20,36,0
2,1,1,1,8,1222,424,494,29,6,17,1
3,1,2,0,8,1100,469,528,15,20,37,0
2,1,1,0,8,2263,764,793,22,20,31,0
3,1,1,1,4,362,312,320,35,15,35,0
5,1,1,1,3,1596,272,329,55,7,32,0
5,1,1,0,8,1474,303,366,22,50,36,0
5,1,1,0,8,2045,462,494,25,10,31,0
2,1,1,0,8,729,339,369,39,50,32,0
2,1,1,1,8,702,238,321,71,11,30,1
2,1,1,1,8,721,269,333,63,7,29,1
4,1,1,0,8,1568,520,596,45,27,37,0
5,1,1,1,8,2184,655,709,34,9,30,1
5,1,1,0,8,1490,410,438,33,15,35,0
5,1,1,1,3,679,316,339,41,21,37,0
3,1,1,1,8,274,187,212,51,7,31,1
5,1,1,1,5,793,276,316,78,27,28,1
2,1,1,1,8,1217,297,368,27,16,31,0
4,1,1,0,7,589,437,454,71,10,30,0
4,1,1,1,5,807,399,386,57,10,31,0
4,1,1,1,8,1157,569,568,35,15,37,0
5,1,1,0,8,1282,503,575,78,15,32,0
5,1,1,0,8,3704,671,793,20,15,37,0
5,0,1,1,8,282,305,338,25,50,37,0
2,1,1,1,8,1138,424,441,25,5,30,0
2,1,1,0,7,1342,463,553,47,15,30,0
5,1,1,1,7,657,389,367,41,15,31,1
3,0,1,1,0,446,256,256,70,8,32,0
2,0,1,1,8,1519,650,705,49,15,35,0
2,1,1,1,9,685,456,484,44,20,37,0
4,1,1,1,8,542,222,267,57,5,29,1
4,1,1,0,4,927,446,442,56,10,37,0
4,1,1,1,8,735,368,406,27,15,29,1
4,1,1,1,5,645,298,362,55,10,28,1
5,1,1,0,6,531,179,215,42,7,31,0
5,1,1,0,1,0,0,0,63,10,30,0
3,1,1,0,8,617,367,399,21,12,31,0
2,1,1,0,7,1345,508,616,73,7,28,0
5,1,1,0,6,2453,453,537,62,32,31,0
3,1,1,0,6,531,344,353,58,10,37,0
2,1,2,1,8,429,186,296,32,15,30,0
5,0,1,1,7,971,481,524,57,20,28,0
3,1,1,1,0,238,148,179,84,6,30,1
3,1,1,1,8,894,473,496,32,7,32,0
4,0,1,1,8,1233,620,678,31,20,35,0
5,1,1,1,8,1677,482,493,42,25,21,1
3,1,1,1,5,386,227,259,49,10,30,1
2,1,1,0,3,459,251,291,52,17,34,0
5,0,1,1,8,1281,515,592,21,25,31,0
4,1,1,1,2,643,210,255,76,20,36,1
5,1,1,1,8,1070,247,313,89,7,22,1
4,1,2,1,3,444,233,247,45,15,29,1
2,1,1,1,8,863,403,438,65,24,35,1
5,1,1,1,8,4069,821,902,27,24,28,0
2,0,1,1,5,3063,754,692,82,10,30,1
5,1,1,1,8,1737,381,416,18,35,28,0
5,1,1,1,0,576,223,253,70,15,33,1
3,1,1,1,8,342,169,216,84,25,37,1
5,1,1,1,5,788,266,312,45,20,31,1
3,0,1,0,3,607,341,414,74,10,36,1
3,1,1,1,8,855,516,534,15,15,37,0
3,1,1,1,3,303,294,338,51,25,18,1
3,1,1,1,7,723,393,442,49,10,31,0
5,1,1,1,8,2526,413,456,58,10,31,0
3,1,1,0,8,592,282,316,36,20,37,1
4,1,1,0,4,205,345,363,80,12,32,1
2,1,1,1,8,744,304,355,26,10,28,1
5,1,1,1,2,1800,289,324,44,25,25,0
4,1,1,1,8,515,407,433,24,15,28,0
4,0,1,1,8,636,408,477,25,10,34,0
2,1,1,0,8,646,358,373,74,5,20,1
3,1,1,1,8,567,359,372,24,7,30,0
5,1,1,1,8,2194,314,395,34,20,36,1
4,1,2,1,8,667,436,456,63,20,37,1
5,1,1,0,8,1413,445,466,38,10,32,1
3,0,1,0,8,794,530,578,46,15,37,1
3,1,1,1,2,500,255,300,54,11,37,0
4,1,1,0,0,573,193,236,70,6,30,1
4,0,1,1,0,555,330,350,78,7,28,1
5,1,1,1,5,1095,602,631,59,10,31,1
5,1,1,1,8,2500,363,363,30,5,31,1
5,1,1,1,8,732,470,459,74,21,29,0
5,1,1,1,8,3111,292,338,38,15,31,1
5,1,1,1,8,996,241,263,36,8,30,1
5,1,1,1,8,3614,423,514,56,11,30,1
5,1,1,0,5,425,222,288,68,20,36,0
5,0,1,1,0,1423,240,212,62,5,31,0
3,1,1,1,2,271,274,304,64,15,33,1
2,1,1,1,8,484,239,288,35,6,32,1
2,1,1,1,8,985,501,493,49,15,29,0
2,0,4,0,8,1122,296,380,18,25,37,0
2,1,1,0,8,523,351,382,39,15,32,0
2,1,1,1,8,872,371,423,31,5,29,1
2,1,1,1,3,407,240,287,47,60,34,1
5,1,1,1,6,1895,458,490,42,12,37,1
5,1,1,1,5,2519,425,500,87,12,21,1
2,0,1,0,8,1614,667,744,28,32,37,1
5,0,1,0,8,1957,630,744,45,10,31,0
5,1,1,0,8,3877,669,729,53,20,37,1
2,1,1,1,8,821,422,464,62,11,29,1
2,0,1,1,8,536,332,331,28,12,32,0
5,0,1,0,8,902,193,255,24,13,31,0
5,0,2,0,8,974,361,403,25,6,29,0
5,1,1,0,8,5625,1053,1023,79,12,31,0
4,1,1,1,8,801,545,566,40,7,31,1
3,1,1,0,5,656,341,388,41,10,30,0
2,0,1,0,6,450,262,287,79,15,31,1
2,1,1,0,1,845,236,271,75,12,30,0
3,1,1,1,8,565,375,438,35,10,29,0
3,0,1,0,2,466,215,250,74,8,32,0
5,0,1,1,5,434,202,186,75,28,30,0
3,0,1,0,8,484,328,355,71,10,30,1
5,1,1,0,8,694,238,262,39,20,33,1
2,1,1,0,2,547,306,348,59,12,32,0
2,1,1,1,6,990,380,432,69,12,33,1
4,0,1,0,9,625,348,402,63,11,31,1
2,1,1,1,8,641,426,413,122,9,21,1
4,1,1,0,7,728,357,376,44,25,37,1
5,0,1,1,8,538,152,197,22,5,28,1
2,1,1,1,9,1335,675,726,52,21,31,0
2,1,1,1,8,522,307,321,29,10,29,1
4,1,1,1,6,1434,449,485,60,13,37,1
5,1,1,0,1,1131,284,342,79,8,31,0
5,1,1,0,8,973,502,496,52,12,29,1
5,1,1,0,0,1213,401,449,40,31,31,1
5,0,1,1,4,2254,362,374,39,11,30,0
5,1,1,0,2,710,249,328,85,7,24,1
4,1,1,1,8,347,252,326,58,40,34,1
2,1,1,1,8,513,185,199,124,16,26,0
5,1,1,0,8,1360,524,521,27,7,31,1
3,0,1,0,8,384,274,350,20,15,31,1
5,0,1,1,8,1793,753,778,15,15,37,0
2,1,1,0,7,698,433,495,64,25,17,0
3,1,1,1,8,962,437,517,36,10,28,0
5,1,2,1,8,761,383,423,56,16,29,1
2,1,1,1,4,585,322,340,54,15,33,0
5,1,1,1,8,4993,675,770,40,7,31,0
5,0,1,1,0,1823,195,257,108,25,29,0
2,0,1,0,3,799,288,351,52,25,31,1
5,1,1,1,3,1054,319,379,71,20,37,1
4,1,1,1,9,1785,663,737,44,20,37,1
3,0,1,1,6,655,423,467,61,5,32,0
4,0,1,0,7,727,348,426,38,17,34,0
2,1,1,0,3,1036,275,319,82,15,30,1
5,0,1,1,0,0,147,186,71,6,31,1
5,1,1,1,8,868,382,435,66,20,30,0
3,1,1,1,6,596,330,345,74,20,30,0
4,1,1,0,8,566,352,407,57,20,37,0
3,1,1,0,8,278,208,247,24,17,30,0
5,1,1,1,9,3761,768,826,80,60,33,1
5,1,1,1,8,548,197,244,64,7,28,1
5,1,1,1,8,868,382,435,46,10,28,0
3,1,1,1,8,407,172,266,31,12,31,1
2,0,1,0,8,689,285,329,25,10,29,0
4,0,1,1,8,448,231,348,29,11,36,1
5,1,1,1,3,2842,305,376,58,11,32,1
2,1,1,0,8,1896,394,488,57,10,17,1
4,0,1,1,8,366,213,253,64,20,31,0
3,1,1,0,8,490,324,353,25,6,28,1
3,0,1,0,1,406,235,275,70,15,28,1
3,1,1,1,8,593,307,349,34,10,35,1
5,1,1,1,3,3142,527,681,56,10,28,0
2,1,1,0,8,441,333,328,31,20,37,0
3,1,1,1,8,833,441,484,61,15,29,0
4,1,1,1,8,622,421,454,39,10,34,0
2,0,1,0,4,721,269,333,67,20,36,1
5,1,1,1,8,1169,363,404,27,10,28,1
5,1,1,1,8,2262,878,898,18,17,29,0
5,0,1,1,8,2560,413,538,25,24,31,0
4,0,1,1,8,658,390,471,25,13,29,0
2,1,2,1,3,860,282,312,37,15,31,1
5,1,1,0,8,3111,347,380,30,6,31,1
4,1,1,1,8,2932,767,835,25,10,29,1
5,1,1,1,8,878,344,371,40,5,30,0
5,1,1,1,8,3157,507,625,28,15,32,0
2,0,1,0,4,681,318,362,64,8,33,1
2,1,1,1,8,830,488,555,64,18,31,1
4,0,1,1,2,319,169,212,134,375,33,0
5,1,1,1,3,1066,323,396,58,18,30,1
5,1,1,0,2,506,214,235,50,15,28,1
5,1,1,0,7,808,400,447,63,14,31,1
2,1,1,1,1,521,276,294,110,11,35,1
5,1,1,0,8,794,241,293,24,15,31,0
5,1,1,1,5,556,297,310,140,90,32,1
4,1,1,0,8,567,318,363,33,5,31,1
2,1,4,0,8,1714,955,944,25,10,31,0
5,1,1,0,8,2016,392,412,22,10,28,0
3,0,1,1,8,532,330,356,24,20,28,1
5,1,1,0,9,5855,1211,1085,43,40,30,1
2,1,1,0,8,1442,479,557,51,14,31,0
2,1,1,1,8,737,337,377,37,10,30,1
2,1,2,1,8,837,366,434,18,15,36,0
2,1,2,1,2,1226,522,556,53,12,31,0
5,0,1,1,1,806,223,277,59,26,29,1
4,1,1,1,8,394,240,284,25,8,31,0
4,1,1,0,0,727,293,339,70,10,31,1
2,1,1,1,5,923,343,403,48,20,37,1
3,0,1,1,0,606,247,289,44,50,30,1
4,1,4,1,8,898,542,521,24,12,31,0
5,1,1,1,8,747,342,340,24,15,32,0
4,1,1,0,1,374,317,349,71,10,30,0
5,1,1,0,8,1238,318,396,29,15,31,1
3,1,4,1,8,230,97,171,23,35,30,0
3,1,1,0,8,397,302,323,17,15,36,0
5,1,1,1,9,2214,711,829,140,140,20,1
2,1,1,1,1,606,200,237,76,10,30,1
4,0,1,1,8,427,289,302,18,10,30,0
5,1,1,0,4,778,277,325,44,50,34,0
4,0,1,1,8,401,325,379,54,10,19,1
2,0,1,0,8,817,296,335,43,25,31,0
3,1,1,1,6,584,417,458,61,10,35,1
5,1,1,1,7,1488,366,407,49,11,37,0
5,1,1,1,3,1137,324,352,98,15,29,1
2,1,1,1,3,513,295,338,79,8,35,1
3,1,3,0,8,886,436,528,53,5,29,1
2,0,1,1,8,521,282,357,14,25,37,1
5,0,1,1,8,587,195,256,33,11,35,0
2,0,1,0,8,704,326,367,27,10,32,0
5,1,1,1,5,1342,349,371,72,10,31,1
3,1,1,1,5,304,242,279,86,15,22,0
5,1,1,0,5,689,280,326,58,15,37,1
4,0,1,0,3,517,270,318,40,25,37,0
2,1,1,0,8,981,263,419,66,7,34,1
5,0,1,1,5,735,310,358,74,5,30,1
4,1,1,0,0,479,167,225,71,9,31,1
5,1,1,1,8,2463,406,460,86,11,17,1
3,1,1,1,5,484,314,347,51,12,32,1
5,0,1,0,8,809,421,444,85,15,17,0
2,1,1,1,8,384,122,150,59,10,32,0
5,1,1,1,8,1225,484,570,29,7,34,1
3,1,1,1,8,494,397,388,58,20,31,1
5,1,1,1,0,614,166,182,68,30,30,1
2,1,1,1,8,746,305,377,55,10,28,1
4,1,1,1,8,890,448,498,47,10,37,1
2,1,2,1,8,834,286,317,23,6,30,0
2,1,1,1,8,651,218,300,32,13,31,0
2,0,1,0,5,492,224,286,65,14,31,1
3,1,1,1,8,2174,1010,987,22,25,34,1
5,1,1,1,8,1539,358,391,37,25,28,1
2,1,1,0,8,985,310,371,78,10,29,0
4,1,1,1,8,749,357,400,24,25,30,0
5,0,1,1,8,956,371,409,31,15,30,1
2,1,1,1,3,1105,496,599,58,10,17,1
4,1,1,1,7,536,353,376,50,16,33,1
5,1,1,0,3,607,292,310,55,12,31,0
4,0,1,1,3,719,310,439,77,15,33,0
3,1,1,0,8,718,313,364,49,9,31,1
5,1,1,1,8,2907,701,781,43,20,29,1
4,1,1,0,8,644,223,277,29,16,33,0
3,0,1,0,8,1375,171,221,53,14,29,1
3,1,1,1,8,853,444,496,25,20,33,0
5,1,1,1,8,801,337,383,41,10,31,0
5,1,1,1,8,1194,587,636,61,20,37,1
4,0,1,1,8,514,282,346,32,15,36,1
5,1,1,0,8,4331,971,948,34,20,37,0
4,1,1,1,9,874,601,629,73,35,28,1
5,1,1,1,8,1875,690,773,67,9,31,1
3,1,1,1,5,325,219,285,56,13,30,1
5,0,1,0,2,608,293,349,65,20,37,0
4,0,1,0,8,601,279,279,24,10,28,0
2,1,1,0,8,516,214,229,45,12,30,0
2,1,1,1,3,816,268,331,74,20,28,1
4,0,1,1,5,268,260,294,59,15,29,0
4,0,1,0,8,701,421,450,20,9,28,0
2,1,1,0,8,774,227,274,97,15,29,0
3,0,1,1,8,420,303,305,35,11,31,0
2,1,1,0,8,1977,448,547,17,12,31,0
2,0,4,1,8,711,323,371,22,20,30,1
4,0,1,0,1,368,214,256,56,50,37,1
2,1,1,1,9,695,315,380,78,35,31,0
5,1,1,1,6,1046,329,358,70,16,31,0
5,1,1,1,4,2577,399,447,81,12,30,1
2,1,1,1,5,645,339,420,44,15,34,1
3,1,1,0,8,329,192,202,21,20,30,1
2,1,1,1,4,936,213,213,62,24,30,1
5,1,1,0,8,1398,471,471,132,20,22,1
5,1,1,0,1,1691,324,382,45,31,33,1
5,1,1,0,7,978,348,426,67,15,28,1
4,1,1,1,3,321,180,258,50,16,36,1
3,1,1,1,0,389,138,205,63,5,33,1
4,1,1,1,9,844,580,613,76,25,29,0
4,1,1,0,8,464,391,432,101,17,30,1
3,1,1,1,0,573,321,351,108,10,31,1
5,0,1,1,8,639,326,323,24,15,28,1
2,1,1,1,1,583,205,245,67,36,31,0
